City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,aswan,24.09,32.91,58.21,32,100,9.1,EG,1582486381
142,tezu,27.92,96.17,61.18,56,100,1.79,IN,1582486381
143,great falls,47.5,-111.3,50.0,34,1,12.75,US,1582486110
144,mahebourg,-20.41,57.7,77.0,88,75,4.7,MU,1582486381
145,oistins,13.07,-59.53,84.2,70,40,14.99,BB,1582486379
146,santa maria del oro,25.93,-105.37,74.5,23,74,21.59,MX,1582486381
147,baykit,61.67,96.37,9.05,93,74,2.82,RU,1582486382
148,vao,-22.67,167.48,77.97,78,45,13.89,NC,1582486382
149,tikrit,34.61,43.68,59.0,64,56,8.93,IQ,1582486382
150,kaeo,-35.1,173.78,59.0,100,0,15.19,NZ,1582486382
151,elat,29.56,34.95,64.4,48,100,11.41,IL,1582486382
152,east london,-33.02,27.91,66.2,68,20,3.36,ZA,1582486134
153,verkhnyaya inta,65.98,60.31,23.58,78,100,12.01,RU,1582486383
154,lazaro cardenas,17.96,-102.2,83.95,57,0,8.05,MX,1582486383
155,puquio,-14.7,-74.13,45.23,87,100,12.46,PE,1582486383
156,mehamn,71.04,27.85,33.8,92,75,8.05,NO,1582486295
157,mastic beach,40.77,-72.85,54.0,23,1,16.11,US,1582486383
158,mecca,21.43,39.83,71.1,59,100,3.67,SA,1582486241
159,ouidah,6.36,2.09,86.0,84,20,12.75,BJ,1582486384
160,araguaina,-7.19,-48.21,82.27,74,8,4.41,BR,1582486372
161,sinnamary,5.38,-52.95,79.0,82,77,15.59,GF,1582486384
162,san patricio,19.22,-104.7,84.2,74,5,11.41,MX,1582486384
163,alto araguaia,-17.31,-53.22,72.14,94,100,5.35,BR,1582486384
164,ribeira grande,38.52,-28.7,60.8,72,75,4.7,PT,1582486384
165,iqaluit,63.75,-68.51,-23.01,61,20,11.41,CA,1582486384
166,kamaishi,39.27,141.88,32.85,55,0,2.59,JP,1582486385
167,san quintin,30.48,-115.95,60.64,70,0,21.36,MX,1582486385
168,canatlan,24.52,-104.78,73.4,17,90,20.8,MX,1582486385
169,banda aceh,5.56,95.32,73.72,86,3,6.31,ID,1582486385
170,vladimiro-aleksandrovskoye,42.89,133.08,23.16,92,90,1.52,RU,1582486385
171,bo phloi,14.32,99.52,72.1,49,100,3.53,TH,1582486385
172,poum,-20.23,164.02,80.78,76,64,20.76,NC,1582486386
173,whyalla,-33.03,137.58,66.2,82,32,2.24,AU,1582486238
174,mount gambier,-37.83,140.77,57.2,93,95,5.82,AU,1582486251
175,makakilo city,21.35,-158.09,75.99,73,75,0.45,US,1582486166
176,singaraja,-8.11,115.09,82.6,73,82,1.05,ID,1582486386
177,pisco,-13.7,-76.22,71.6,30,40,11.41,PE,1582486386
178,saint george,37.1,-113.58,51.01,57,1,4.7,US,1582486252
179,dekar,-21.53,21.93,67.91,85,96,13.73,BW,1582486387
180,kalanchak,46.26,33.29,43.0,99,100,14.99,UA,1582486387
181,codrington,-38.27,141.97,62.04,88,100,10.2,AU,1582486387
182,uruguaiana,-29.75,-57.09,80.6,42,0,11.41,BR,1582486387
183,turiacu,-1.66,-45.37,79.38,87,25,5.48,BR,1582486387
